Years,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0
"Motorcycles, Table 32,ab\ab tra.xlsx",215.476245,194.018696,181.097233,180.923843,181.617523,178.306281,173.267186,182.476019,197.608632,184.897482,202.507796,278.478211,324.239032,339.066085,356.070404,390.201812,420.719336,474.379467,482.423369,415.037043,422.997843,384.679959,431.261701,463.921217,484.844337,478.693924,530.092252,508.252624,529.779715
"Bus, Table 23,ab\ab tra.xlsx",5912.605112,5518.733647,5289.191078,5038.815988,5349.878466,7412.690288,6817.102831,7475.277622,7531.949707,7290.515477,7918.046816,9686.071127,11693.051811,9923.295884,8160.13748,9730.937367,9840.736951,9562.559983,9742.140003,11723.455032,13071.246034,12867.510523,12085.78806,12266.716129,12468.03774,11400.970186,10090.284124,11291.709774,12167.712547
"School Bus, Table 28,ab\ab tra.xlsx",2797.627099,2570.76958,2725.940068,2289.212324,2364.437087,3566.702513,3243.320842,3352.933,3717.362647,3626.899344,4056.179302,4578.275038,5387.489978,4939.306148,3800.039359,4573.093019,5259.289805,4714.064538,4940.00042,6274.186235,7180.172675,6661.465227,6358.050189,6135.983416,6190.170937,5706.371931,5740.294226,6569.200543,6774.600637
"Urban Transit, Table 29,ab\ab tra.xlsx",1904.729204,1814.917394,1560.143357,1699.744314,1821.12062,2219.256992,2102.041236,2313.849048,2138.716367,2186.744693,2320.042201,3193.836182,3932.320442,3260.139583,3019.642112,3531.632883,3302.58087,3213.559688,3277.923609,3952.688212,4464.495109,4805.334299,4499.520461,4582.84574,4878.242672,4465.184318,3313.333262,3652.090728,4141.515386
"Intercity Bus, Table 30,ab\ab tra.xlsx",1210.248809,1133.046674,1003.107653,1049.859349,1164.320759,1626.730783,1471.740753,1808.495575,1675.870693,1476.87144,1541.825313,1913.959907,2373.241391,1723.850153,1340.456008,1626.211464,1278.866276,1634.935757,1524.215974,1496.580585,1426.57825,1400.710997,1228.21741,1547.886972,1399.624132,1229.413937,1036.656636,1070.418503,1251.596525
"Passenger Activity, Table 10,ab\ab tra.xlsx",44762.010227,42882.820364,44698.220054,44533.711938,46998.254488,48782.199184,48329.4216,51110.633198,52214.921207,52209.90047,53862.698287,58188.536249,61265.651619,56604.94644,53511.164186,57232.428975,57119.774722,60698.269072,59297.282227,59934.333696,60337.368877,56071.332815,58911.909799,62237.625152,64094.251975,60893.490874,61876.729066,65078.254596,66159.916451
"Light Truck, Table 35,ab\ab tra.xlsx",2223.790338,2125.580802,2305.381649,2090.35266,2460.111981,2533.150155,2683.92625,2913.219212,3081.6575,3125.22808,3221.564257,3442.36894,3553.904186,3395.464412,3346.001372,3549.148624,3520.051709,3896.717031,3802.408224,3753.61748,3786.806102,3616.193408,4017.694449,4455.927907,4758.690339,4725.84881,5101.997,5141.424155,5625.047552
"Medium Truck, Table 36,ab\ab tra.xlsx",2518.826462,2350.902424,2556.191965,2555.829899,3002.609602,3109.769621,3291.610218,3501.59979,3859.148442,3913.194043,3270.785513,4858.149057,4690.080052,5285.650253,7352.996988,7101.988662,9990.923173,10643.97947,10751.376784,10918.371494,14171.649754,13877.932222,14746.535632,16545.313758,17160.151858,15722.682427,14904.327039,14332.161892,16457.241058
"Heavy Truck, Table 36,ab\ab tra.xlsx",16990.183984,15121.551149,14266.169326,17461.513773,22374.14785,24332.496894,26022.127802,29416.901687,31896.595482,33559.557173,38265.36489,38752.346053,36439.318893,42567.671192,45967.296765,45605.994348,48134.057579,51916.005027,49219.750819,49786.399629,56286.91614,55286.443855,58980.097208,66047.901089,76132.003306,72248.712027,70370.040521,73150.950904,72305.335665
"Freight Activity, Table 11,ab\ab tra.xlsx",21732.800784,19598.034375,19127.742939,22107.696333,27836.869433,29975.41667,31997.66427,35831.720689,38837.401423,40597.979297,44757.714661,47052.86405,44683.303132,51248.785857,56666.295124,56257.131634,61645.032461,66456.701528,63773.535827,64458.388602,74245.371995,72780.569485,77744.327288,87049.142754,98050.845503,92697.243264,90376.364561,90425.694089,94387.624276
"Gasoline, Table 21,ab\ab tra.xlsx",10.846062,10.564541,10.323595,10.177029,10.048475,9.918858,9.782992,9.542982,9.454346,9.392269,9.306101,9.208294,9.071354,8.895861,8.862056,8.78321,8.683867,8.576655,8.578468,8.529492,8.47429,8.126408,7.931865,7.983606,7.886672,8.185967,8.163889,8.126786,8.092081
"Diesel, Table 21,ab\ab tra.xlsx",8.705661,8.677534,8.761156,8.762058,8.637878,8.455044,8.411273,7.809019,7.742448,7.465947,7.188564,6.949523,6.680026,6.410915,6.341109,6.268412,6.257691,6.288496,6.308638,6.38676,6.514907,6.60012,6.717467,6.739485,6.820252,6.907203,6.955598,6.969823,6.911817
"Gasoline, Table 37,ab\ab tra.xlsx",15.544901,15.210397,14.938025,14.720483,14.668316,14.63909,14.515031,14.368966,14.346381,14.370565,14.297561,14.107112,14.017433,13.91907,13.899752,13.754371,13.634182,13.470541,13.37016,13.253682,13.141528,13.317591,13.235284,12.995153,12.910794,12.529857,12.457183,12.373895,12.281744
"Diesel, Table 37,ab\ab tra.xlsx",11.46917,11.696899,11.796107,12.064299,12.438063,12.787888,13.060841,13.122989,13.374085,13.480024,13.547617,13.471446,13.688311,13.542575,13.360317,13.123686,13.730738,13.637947,12.862835,12.088144,11.653623,11.473753,11.088104,10.884725,10.484814,10.513936,10.467145,10.471813,10.418327
"Gasoline, Table 32,ab\ab tra.xlsx",4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.3,4.3,4.2,4.2,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.3,5.3
"Gasoline, Table 37,ab\ab tra.xlsx",15.811886,15.448176,15.146527,14.886544,14.824642,14.78424,14.635114,14.492758,14.4714,14.496352,14.432786,14.239655,14.153118,14.051755,14.036288,13.897175,13.777308,13.619824,13.530486,13.414633,13.303773,13.48149,13.390086,13.148111,13.064863,12.678346,12.603975,12.521195,12.428731
"Diesel, Table 37,ab\ab tra.xlsx",11.547791,11.749103,11.84517,12.081956,12.444597,12.784106,13.034211,13.103076,13.353356,13.464296,13.542817,13.477528,13.692746,13.584461,13.43857,13.24289,13.763684,13.722226,13.087704,12.3669,11.961345,11.774883,11.365279,11.128372,10.68973,10.676233,10.60323,10.592747,10.532553
"Gasoline, Table 37,ab\ab tra.xlsx",27.1,26.87,26.68,26.5,26.44,26.21,26.1,26.02,25.88,25.68,25.59,25.75,25.67,25.47,25.38,25.24,22.91,21.84,22.96,25.07,22.88,22.999609,22.836813,22.355499,22.099052,21.33,21.02,20.71,20.4
"Diesel, Table 37,ab\ab tra.xlsx",27.57,27.36,27.18,27.02,26.84,26.7,26.79,26.6,26.49,26.33,26.29,26.24,26.18,26.1,26.05,25.98,23.3,23.59,23.31,24.35,23.16,22.8,22.44,22.08,21.72,21.36,21.0,20.64,20.28
"Diesel, Table 37,ab\ab tra.xlsx",43.04,42.54,42.01,41.53,40.96,40.01,40.99,40.12,39.51,38.9,38.3,37.69,37.08,36.47,35.86,35.25,35.05,34.24,35.42,33.09,33.12,32.62,32.13,31.63,31.14,30.64,30.15,29.65,29.15
"Natural Gas, Table 21,ab\ab tra.xlsx",955.122,1002.94,986.98,1038.927,1045.079,953.813,926.263,956.825,962.01,973.123,983.846,1023.689,1030.293,985.28,1014.845,1033.487,1068.661,1152.793,1294.458,1331.498,1305.623,1284.831,1272.128,1269.099,1271.692,1269.539,1247.275,1220.714,1188.442
